LeBuhn3,Time,Celsius(°C),Humidity(%rh),Dew Point(°C),Comments,Serial Number
561,3/22/2025 5:30,11.5,76.5,7.5,,
562,3/22/2025 6:00,11.5,73,6.8,,
563,3/22/2025 6:30,11.5,74,7,,
564,3/22/2025 7:00,12,73.5,7.4,,
565,3/22/2025 7:30,12,73,7.3,,
566,3/22/2025 8:00,12,73.5,7.4,,
567,3/22/2025 8:30,13.5,70.5,8.2,,
568,3/22/2025 9:00,14.5,64.5,7.9,,
569,3/22/2025 9:30,15,63,8,,
570,3/22/2025 10:00,16.5,59,8.5,,
571,3/22/2025 10:30,17,60,9.2,,
572,3/22/2025 11:00,18,57,9.4,,
573,3/22/2025 11:30,17.5,57.5,9,,
574,3/22/2025 12:00,16.5,61,9,,
575,3/22/2025 12:30,17,62,9.7,,
576,3/22/2025 13:00,17.5,59,9.4,,
577,3/22/2025 13:30,18.5,56.5,9.7,,
578,3/22/2025 14:00,17,60,9.2,,
579,3/22/2025 14:30,16.5,63.5,9.6,,
580,3/22/2025 15:00,16.5,61,9,,
581,3/22/2025 15:30,18.5,53,8.7,,
582,3/22/2025 16:00,18,54,8.6,,
583,3/22/2025 16:30,18.5,56,9.6,,
584,3/22/2025 17:00,17.5,58,9.2,,
585,3/22/2025 17:30,16.5,62,9.2,,
586,3/22/2025 18:00,16.5,64.5,9.8,,
587,3/22/2025 18:30,15.5,67.5,9.5,,
588,3/22/2025 19:00,15,66,8.7,,
589,3/22/2025 19:30,13.5,71.5,8.5,,
590,3/22/2025 20:00,13,74.5,8.6,,
591,3/22/2025 20:30,13,75.5,8.8,,
592,3/22/2025 21:00,12.5,79,9,,
593,3/22/2025 21:30,12,81,8.8,,
594,3/22/2025 22:00,11.5,84,8.9,,
595,3/22/2025 22:30,11.5,85.5,9.2,,
596,3/22/2025 23:00,11.5,85.5,9.2,,
597,3/22/2025 23:30,11.5,87.5,9.5,,
598,3/23/2025 0:00,12,84.5,9.5,,
599,3/23/2025 0:30,12,84,9.4,,
600,3/23/2025 1:00,12.5,81,9.3,,
601,3/23/2025 1:30,11.5,85.5,9.2,,
602,3/23/2025 2:00,11.5,85,9.1,,
603,3/23/2025 2:30,12,83.5,9.3,,
604,3/23/2025 3:00,12,84,9.4,,
605,3/23/2025 3:30,11.5,85.5,9.2,,
606,3/23/2025 4:00,12,84,9.4,,
607,3/23/2025 4:30,11.5,85.5,9.2,,
608,3/23/2025 5:00,11.5,84.5,9,,
609,3/23/2025 5:30,11.5,84.5,9,,
610,3/23/2025 6:00,11,87,8.9,,
611,3/23/2025 6:30,12,82,9,,
612,3/23/2025 7:00,11.5,83.5,8.8,,
613,3/23/2025 7:30,11.5,81,8.4,,
614,3/23/2025 8:00,12.5,80,9.1,,
615,3/23/2025 8:30,14,75.5,9.7,,
616,3/23/2025 9:00,16.5,63.5,9.6,,
617,3/23/2025 9:30,19,55.5,9.9,,
618,3/23/2025 10:00,21,51.5,10.6,,
619,3/23/2025 10:30,21,50.5,10.3,,
620,3/23/2025 11:00,17.5,60,9.7,,
621,3/23/2025 11:30,20,55,10.7,,
622,3/23/2025 12:00,21.5,49,10.3,,
623,3/23/2025 12:30,22.5,47,10.6,,
624,3/23/2025 13:00,21.5,49,10.3,,
625,3/23/2025 13:30,21.5,53,11.5,,
626,3/23/2025 14:00,20,56.5,11.1,,
627,3/23/2025 14:30,21,52.5,10.9,,
628,3/23/2025 15:00,21,54,11.3,,
629,3/23/2025 15:30,21,52.5,10.9,,
630,3/23/2025 16:00,20,55,10.7,,
631,3/23/2025 16:30,20,55.5,10.8,,
632,3/23/2025 17:00,19,58.5,10.7,,
633,3/23/2025 17:30,20,56.5,11.1,,
634,3/23/2025 18:00,22.5,48,10.9,,
635,3/23/2025 18:30,19.5,55,10.2,,
636,3/23/2025 19:00,17,61,9.4,,
637,3/23/2025 19:30,15.5,64.5,8.8,,
638,3/23/2025 20:00,14.5,70,9.1,,
639,3/23/2025 20:30,14,71.5,8.9,,
640,3/23/2025 21:00,13,75,8.7,,
641,3/23/2025 21:30,14,75.5,9.7,,
642,3/23/2025 22:00,14,76.5,9.9,,
643,3/23/2025 22:30,13,85.5,10.6,,
644,3/23/2025 23:00,13,87,10.9,,
645,3/23/2025 23:30,11.5,88.5,9.7,,
646,3/24/2025 0:00,12,90,10.4,,
647,3/24/2025 0:30,11.5,91.5,10.2,,
648,3/24/2025 1:00,11.5,91,10.1,,
649,3/24/2025 1:30,11.5,93,10.4,,
650,3/24/2025 2:00,12,94.5,11.1,,
651,3/24/2025 2:30,12.5,93,11.4,,
652,3/24/2025 3:00,12.5,90,10.9,,
653,3/24/2025 3:30,12.5,93.5,11.5,,
654,3/24/2025 4:00,12,95.5,11.3,,
655,3/24/2025 4:30,12.5,93.5,11.5,,
656,3/24/2025 5:00,12.5,93.5,11.5,,
657,3/24/2025 5:30,12.5,92,11.2,,
658,3/24/2025 6:00,12,91.5,10.7,,
659,3/24/2025 6:30,10.5,91.5,9.2,,
660,3/24/2025 7:00,10,93.5,9,,
661,3/24/2025 7:30,11,95.5,10.3,,
662,3/24/2025 8:00,11.5,96.5,11,,
663,3/24/2025 8:30,12,97.5,11.6,,
664,3/24/2025 9:00,12,98,11.7,,
665,3/24/2025 9:30,14,95.5,13.3,,
666,3/24/2025 10:00,16.5,82,13.4,,
667,3/24/2025 10:30,18.5,72,13.4,,
668,3/24/2025 11:00,19.5,65.5,12.9,,
669,3/24/2025 11:30,19.5,63.5,12.4,,
670,3/24/2025 12:00,20,62.5,12.6,,
671,3/24/2025 12:30,21.5,60,13.4,,
672,3/24/2025 13:00,21,60,12.9,,
673,3/24/2025 13:30,21,57.5,12.3,,
674,3/24/2025 14:00,20,63.5,12.9,,
675,3/24/2025 14:30,20,64,13,,
676,3/24/2025 15:00,20,65.5,13.3,,
677,3/24/2025 15:30,19.5,65,12.7,,
678,3/24/2025 16:00,21,59,12.7,,
679,3/24/2025 16:30,20,64,13,,
680,3/24/2025 17:00,19.5,64,12.5,,
681,3/24/2025 17:30,19.5,64.5,12.6,,
682,3/24/2025 18:00,18.5,66.5,12.1,,
683,3/24/2025 18:30,17.5,69.5,11.9,,
684,3/24/2025 19:00,16,71.5,10.9,,
685,3/24/2025 19:30,14.5,78,10.7,,
686,3/24/2025 20:00,13,82.5,10.1,,
687,3/24/2025 20:30,12,83.5,9.3,,
688,3/24/2025 21:00,11.5,86,9.2,,
689,3/24/2025 21:30,10.5,87.5,8.5,,
690,3/24/2025 22:00,11,88.5,9.2,,
691,3/24/2025 22:30,13.5,87,11.4,,
692,3/24/2025 23:00,13.5,88.5,11.6,,
693,3/24/2025 23:30,13,91,11.6,,
694,3/25/2025 0:00,12.5,91.5,11.2,,
695,3/25/2025 0:30,12.5,92.5,11.3,,
696,3/25/2025 1:00,12.5,95,11.7,,
697,3/25/2025 1:30,13,94.5,12.1,,
698,3/25/2025 2:00,13,94,12.1,,
699,3/25/2025 2:30,12.5,96.5,12,,
700,3/25/2025 3:00,13,97,12.5,,
701,3/25/2025 3:30,12,97.5,11.6,,
702,3/25/2025 4:00,12,98,11.7,,
703,3/25/2025 4:30,11.5,98.5,11.3,,
704,3/25/2025 5:00,11.5,98.5,11.3,,
705,3/25/2025 5:30,11.5,99,11.3,,
706,3/25/2025 6:00,11.5,99,11.3,,
707,3/25/2025 6:30,12,99,11.8,,
708,3/25/2025 7:00,12,99,11.8,,
709,3/25/2025 7:30,11.5,99,11.3,,
710,3/25/2025 8:00,12,99,11.8,,
711,3/25/2025 8:30,12,99.5,11.9,,
712,3/25/2025 9:00,12,99,11.8,,
713,3/25/2025 9:30,12.5,99,12.3,,
714,3/25/2025 10:00,12.5,98,12.2,,
715,3/25/2025 10:30,12.5,98,12.2,,
716,3/25/2025 11:00,13,96.5,12.5,,
717,3/25/2025 11:30,14,92,12.7,,
718,3/25/2025 12:00,14,90,12.4,,
719,3/25/2025 12:30,14.5,86,12.2,,
720,3/25/2025 13:00,15,86,12.7,,
721,3/25/2025 13:30,14.5,84,11.8,,
722,3/25/2025 14:00,16,80,12.6,,
723,3/25/2025 14:30,15.5,81.5,12.3,,
724,3/25/2025 15:00,15,82,12,,
725,3/25/2025 15:30,17,75,12.5,,
726,3/25/2025 16:00,18,71.5,12.8,,
727,3/25/2025 16:30,15,80,11.6,,
728,3/25/2025 17:00,14.5,82,11.5,,
729,3/25/2025 17:30,14,84,11.3,,
730,3/25/2025 18:00,13.5,86.5,11.3,,
731,3/25/2025 18:30,13,87.5,11,,
732,3/25/2025 19:00,13,89,11.2,,
733,3/25/2025 19:30,12.5,90,10.9,,
734,3/25/2025 20:00,12.5,91,11.1,,
735,3/25/2025 20:30,12.5,91.5,11.2,,
736,3/25/2025 21:00,12,92.5,10.8,,
737,3/25/2025 21:30,12,93,10.9,,
738,3/25/2025 22:00,12,93,10.9,,
739,3/25/2025 22:30,12,92.5,10.8,,
740,3/25/2025 23:00,12,93,10.9,,
741,3/25/2025 23:30,12,92.5,10.8,,
742,3/26/2025 0:00,12,92,10.7,,
743,3/26/2025 0:30,12,91.5,10.7,,
744,3/26/2025 1:00,12,90.5,10.5,,
745,3/26/2025 1:30,12,91,10.6,,
746,3/26/2025 2:00,12.5,91,11.1,,
747,3/26/2025 2:30,12.5,90,10.9,,
748,3/26/2025 3:00,12.5,89.5,10.8,,
749,3/26/2025 3:30,12.5,89,10.7,,
750,3/26/2025 4:00,12.5,89,10.7,,
751,3/26/2025 4:30,12.5,88.5,10.7,,
752,3/26/2025 5:00,12.5,91,11.1,,
753,3/26/2025 5:30,12,93.5,11,,
754,3/26/2025 6:00,12,94,11.1,,
755,3/26/2025 6:30,12,94,11.1,,
756,3/26/2025 7:00,12,94.5,11.1,,
757,3/26/2025 7:30,12,91.5,10.7,,
758,3/26/2025 8:00,12.5,88.5,10.7,,
759,3/26/2025 8:30,13,91,11.6,,
760,3/26/2025 9:00,13,90.5,11.5,,
761,3/26/2025 9:30,13.5,86.5,11.3,,
762,3/26/2025 10:00,13.5,89,11.7,,
763,3/26/2025 10:30,14,86,11.7,,
764,3/26/2025 11:00,15,78.5,11.3,,
765,3/26/2025 11:30,15,82.5,12,,
766,3/26/2025 12:00,15.5,81.5,12.3,,
767,3/26/2025 12:30,16.5,80.5,13.1,,
768,3/26/2025 13:00,17.5,75.5,13.1,,
769,3/26/2025 13:30,17,75.5,12.6,,
770,3/26/2025 14:00,18,72,12.9,,
771,3/26/2025 14:30,18.5,69,12.7,,
772,3/26/2025 15:00,17.5,70.5,12.1,,
773,3/26/2025 15:30,18,69.5,12.3,,
774,3/26/2025 16:00,18,68,12,,
775,3/26/2025 16:30,16.5,76,12.3,,
776,3/26/2025 17:00,16,74,11.4,,
777,3/26/2025 17:30,15.5,76.5,11.4,,
778,3/26/2025 18:00,15.5,74,10.9,,
779,3/26/2025 18:30,14.5,80,11.1,,
780,3/26/2025 19:00,14,82.5,11.1,,
781,3/26/2025 19:30,13.5,85,11,,
782,3/26/2025 20:00,13,83.5,10.3,,
783,3/26/2025 20:30,13,86,10.7,,
784,3/26/2025 21:00,13,86.5,10.8,,
785,3/26/2025 21:30,13,87,10.9,,
786,3/26/2025 22:00,13,87.5,11,,
787,3/26/2025 22:30,12,88.5,10.2,,
788,3/26/2025 23:00,12,90.5,10.5,,
789,3/26/2025 23:30,12,91,10.6,,
790,3/27/2025 0:00,11.5,91.5,10.2,,
791,3/27/2025 0:30,10.5,91.5,9.2,,
792,3/27/2025 1:00,9,92,7.8,,
793,3/27/2025 1:30,9.5,94,8.6,,
794,3/27/2025 2:00,10.5,95.5,9.8,,
795,3/27/2025 2:30,11.5,94.5,10.6,,
796,3/27/2025 3:00,11,94.5,10.2,,
797,3/27/2025 3:30,9.5,93.5,8.5,,
798,3/27/2025 4:00,9.5,95,8.7,,
799,3/27/2025 4:30,9,95,8.2,,
800,3/27/2025 5:00,10.5,94,9.6,,
801,3/27/2025 5:30,10.5,96,9.9,,
802,3/27/2025 6:00,11.5,95,10.7,,
803,3/27/2025 6:30,11.5,94,10.6,,
804,3/27/2025 7:00,11,94.5,10.2,,
805,3/27/2025 7:30,10.5,94.5,9.7,,
806,3/27/2025 8:00,11.5,95.5,10.8,,
807,3/27/2025 8:30,13.5,94.5,12.6,,
808,3/27/2025 9:00,14,88.5,12.1,,
809,3/27/2025 9:30,14,88,12,,
810,3/27/2025 10:00,14.5,89,12.7,,
811,3/27/2025 10:30,16.5,82.5,13.5,,
812,3/27/2025 11:00,17.5,78.5,13.7,,
813,3/27/2025 11:30,18.5,74,13.8,,
814,3/27/2025 12:00,19,72,13.8,,
815,3/27/2025 12:30,19.5,71.5,14.2,,
816,3/27/2025 13:00,20,70.5,14.5,,
817,3/27/2025 13:30,19.5,70,13.9,,
818,3/27/2025 14:00,18.5,71.5,13.3,,
819,3/27/2025 14:30,17.5,76,13.2,,
820,3/27/2025 15:00,17,77,12.9,,
821,3/27/2025 15:30,17.5,76.5,13.3,,
822,3/27/2025 16:00,17.5,75,13,,
823,3/27/2025 16:30,17.5,74,12.8,,
824,3/27/2025 17:00,15,84,12.3,,
825,3/27/2025 17:30,15.5,81,12.3,,
826,3/27/2025 18:00,14,86,11.7,,
827,3/27/2025 18:30,14.5,84,11.8,,
828,3/27/2025 19:00,14,86.5,11.8,,
829,3/27/2025 19:30,13,90.5,11.5,,
830,3/27/2025 20:00,13,89.5,11.3,,
831,3/27/2025 20:30,13.5,88,11.6,,
832,3/27/2025 21:00,13.5,89.5,11.8,,
833,3/27/2025 21:30,13.5,91,12.1,,
834,3/27/2025 22:00,13,92,11.7,,
835,3/27/2025 22:30,13.5,89,11.7,,
836,3/27/2025 23:00,13.5,88,11.6,,
837,3/27/2025 23:30,13.5,90.5,12,,
838,3/28/2025 0:00,13,93,11.9,,
839,3/28/2025 0:30,12.5,95,11.7,,
840,3/28/2025 1:00,12.5,95,11.7,,
841,3/28/2025 1:30,13,92.5,11.8,,
842,3/28/2025 2:00,13,87.5,11,,
843,3/28/2025 2:30,13,85.5,10.6,,
844,3/28/2025 3:00,12.5,86,10.2,,
845,3/28/2025 3:30,12.5,88,10.6,,
846,3/28/2025 4:00,12.5,89,10.7,,
847,3/28/2025 4:30,12,90.5,10.5,,
848,3/28/2025 5:00,12,90.5,10.5,,
849,3/28/2025 5:30,12,90.5,10.5,,
850,3/28/2025 6:00,12,90,10.4,,
851,3/28/2025 6:30,12,89.5,10.3,,
852,3/28/2025 7:00,12,89.5,10.3,,
853,3/28/2025 7:30,12,89,10.2,,
854,3/28/2025 8:00,12,87.5,10,,
855,3/28/2025 8:30,13.5,83.5,10.8,,
856,3/28/2025 9:00,15,77,11,,
857,3/28/2025 9:30,16,75,11.6,,
858,3/28/2025 10:00,16.5,72,11.4,,
859,3/28/2025 10:30,17,68,11.1,,
860,3/28/2025 11:00,17.5,67,11.3,,
861,3/28/2025 11:30,18,64.5,11.2,,
862,3/28/2025 12:00,17.5,71,12.2,,
863,3/28/2025 12:30,17,73,12.1,,
864,3/28/2025 13:00,17.5,70.5,12.1,,
865,3/28/2025 13:30,17.5,72,12.4,,
866,3/28/2025 14:00,17.5,72,12.4,,
867,3/28/2025 14:30,17.5,69.5,11.9,,
868,3/28/2025 15:00,17.5,69,11.8,,
869,3/28/2025 15:30,17,72,11.9,,
870,3/28/2025 16:00,17.5,69,11.8,,
871,3/28/2025 16:30,17.5,66,11.1,,
872,3/28/2025 17:00,16.5,65.5,10,,
873,3/28/2025 17:30,16,71,10.7,,
874,3/28/2025 18:00,14.5,77,10.5,,
875,3/28/2025 18:30,15,73.5,10.3,,
876,3/28/2025 19:00,14,68,8.2,,
877,3/28/2025 19:30,13,73.5,8.4,,
878,3/28/2025 20:00,12.5,78,8.8,,
879,3/28/2025 20:30,12,78,8.3,,
880,3/28/2025 21:00,12,78,8.3,,
881,3/28/2025 21:30,12,82.5,9.1,,
882,3/28/2025 22:00,12,81,8.8,,
883,3/28/2025 22:30,11.5,81,8.4,,
884,3/28/2025 23:00,11.5,82,8.5,,
885,3/28/2025 23:30,11.5,81.5,8.4,,
886,3/29/2025 0:00,11.5,80,8.2,,
887,3/29/2025 0:30,11.5,82,8.5,,
888,3/29/2025 1:00,11.5,82.5,8.6,,
889,3/29/2025 1:30,11.5,83.5,8.8,,
890,3/29/2025 2:00,11,83.5,8.3,,
891,3/29/2025 2:30,11,83,8.2,,
892,3/29/2025 3:00,11,82,8,,
893,3/29/2025 3:30,11,84,8.4,,
894,3/29/2025 4:00,11,84,8.4,,
895,3/29/2025 4:30,10.5,84,7.9,,
896,3/29/2025 5:00,10.5,86,8.3,,
897,3/29/2025 5:30,10.5,81,7.4,,
898,3/29/2025 6:00,10.5,79.5,7.1,,
899,3/29/2025 6:30,10.5,83.5,7.8,,
900,3/29/2025 7:00,10,83,7.3,,
901,3/29/2025 7:30,10,82,7.1,,
902,3/29/2025 8:00,10.5,79.5,7.1,,
903,3/29/2025 8:30,12,74.5,7.6,,
904,3/29/2025 9:00,13,68.5,7.3,,
905,3/29/2025 9:30,14,64,7.3,,
906,3/29/2025 10:00,13.5,64.5,6.9,,
907,3/29/2025 10:30,16,60,8.2,,
908,3/29/2025 11:00,16,59.5,8.1,,
909,3/29/2025 11:30,15.5,61,8,,
910,3/29/2025 12:00,16.5,56.5,7.8,,
911,3/29/2025 12:30,17,58.5,8.8,,
912,3/29/2025 13:00,16,60.5,8.4,,
913,3/29/2025 13:30,16,59.5,8.1,,
914,3/29/2025 14:00,16,57,7.5,,
915,3/29/2025 14:30,16.5,59,8.5,,
916,3/29/2025 15:00,16.5,60,8.7,,
917,3/29/2025 15:30,17,59.5,9.1,,
918,3/29/2025 16:00,14.5,68,8.7,,
919,3/29/2025 16:30,14.5,70.5,9.2,,
920,3/29/2025 17:00,14,71,8.8,,
921,3/29/2025 17:30,13.5,72.5,8.7,,
922,3/29/2025 18:00,14,70.5,8.7,,
923,3/29/2025 18:30,13,72.5,8.2,,
924,3/29/2025 19:00,12.5,73.5,7.9,,
925,3/29/2025 19:30,13,77.5,9.2,,
926,3/29/2025 20:00,12.5,74.5,8.1,,
927,3/29/2025 20:30,17,76,12.7,,
928,3/29/2025 21:00,18,73,13.1,,
929,3/29/2025 21:30,18,72.5,13,,
930,3/29/2025 22:00,17.5,72,12.4,,
931,3/29/2025 22:30,17,71.5,11.8,,
932,3/29/2025 23:00,16.5,71,11.2,,
933,3/29/2025 23:30,16,71,10.7,,
934,3/30/2025 0:00,16,70.5,10.6,,
935,3/30/2025 0:30,15.5,70.5,10.2,,
936,3/30/2025 1:00,15.5,70,10.1,,
937,3/30/2025 1:30,15,70,9.6,,
938,3/30/2025 2:00,15,70,9.6,,
939,3/30/2025 2:30,15,69.5,9.5,,
940,3/30/2025 3:00,14.5,69.5,9,,
941,3/30/2025 3:30,14.5,69.5,9,,
942,3/30/2025 4:00,14.5,69.5,9,,
943,3/30/2025 4:30,14,69.5,8.5,,
944,3/30/2025 5:00,14,69.5,8.5,,
945,3/30/2025 5:30,14,69.5,8.5,,
946,3/30/2025 6:00,14,69.5,8.5,,
947,3/30/2025 6:30,13.5,69.5,8,,
948,3/30/2025 7:00,13.5,69.5,8,,
949,3/30/2025 7:30,13.5,69.5,8,,
950,3/30/2025 8:00,13.5,69.5,8,,
951,3/30/2025 8:30,13.5,69.5,8,,
952,3/30/2025 9:00,13.5,69.5,8,,
953,3/30/2025 9:30,13.5,69.5,8,,
954,3/30/2025 10:00,13.5,70,8.1,,
955,3/30/2025 10:30,13.5,70,8.1,,
956,3/30/2025 11:00,14,70,8.6,,
957,3/30/2025 11:30,14,70,8.6,,
958,3/30/2025 12:00,14,70,8.6,,
959,3/30/2025 12:30,14.5,70,9.1,,
960,3/30/2025 13:00,15,70,9.6,,
961,3/30/2025 13:30,15,70,9.6,,
962,3/30/2025 14:00,15.5,70,10.1,,
